Question,My_Answer
你的MBTI是什么？,ISFJ
如果明天周末没有任何安排，你通常会怎么过？,早上睡到自然醒，自然醒后还要赖床一会。不参加任何有不熟悉人的聚会。除非约我进行户外活动，否则不答应出门。喜欢在家里吃吃喝喝，看看电影，玩玩游戏，偶尔看看书。总之就是宅在家里享受一个人的时光。
你遇到极其愚蠢的提问时，内心真实想法和表面回答是什么？,真实想法：傻逼。表面回答：嗯嗯嗯，敷衍两句，然后转移话题
你常用的口头禅有哪些？,我嘞个豆，我去，出大问题
当你面临压力极大的DDL（死线）时，你的状态是怎样的？,疯狂工作，极速模式，不管质量，先完成
别人夸你牛逼的时候你怎么回？,没有没有
朋友找你借钱，但你不想借，你怎么拒绝？,不太行哎，我最近手头有点紧
当你写了一下午的代码/文章突然电脑死机且没保存时，你的第一反应和连招动作是什么？,搜索小红书看有没有解决办法，尽力找回数据
如果让你评价一下现在满大街吹捧的大模型，你心里真实的看法是什么？,还行，但也没有那么神
你本来答应了聚餐但突然极度不想动弹，你会编一个什么借口放鸽子？,头疼犯了
微信上遇到那种发了一句“在吗”就不说话的人，你会怎么处理？,过四个小时再回他
当你感觉压力大到快要爆炸时，你最常用的回血方式是什么？,看搞笑视频，待家里一天
什么样的小事会让你瞬间暴躁（你的雷区）？,有人用机械键盘敲键盘，声音太大了
你花得最理直气壮的一笔冤枉钱是什么？在什么东西上你绝对不花钱？,无；绝对不花钱在很贵的衣服和饮食上
平时遇到极其离谱的事情时，你会爆哪句粗口或感叹词（原汁原味写出来）？,我超你妈
怎么用你的风格极其敷衍地夸奖一个人？,ok，对的